"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","점포구분명",
"479","대규모점포","08_25_01_P","5350000","1993535001407500010","1993-06-19","","01","영업/정상","1","정상영업","","","","","055 3242533","","","경상남도 김해시 외동 1251호","","","대동종합상가","2007-07-07 10:38:36","I","2018-08-31 23:59:59","그 밖의 대규모점포","369632.600409243","194295.359792307","",
"480","대규모점포","08_25_01_P","5350000","1993535001407500011","1993-10-06","","01","영업/정상","1","정상영업","","","","","055 3361581","","","경상남도 김해시 삼정동 76번지 1   호","","","백제종합상가","2007-07-07 10:38:36","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","",
"481","대규모점포","08_25_01_P","5350000","1993535001407500012","1993-10-06","","01","영업/정상","1","정상영업","","","","","055 3210486","","","경상남도 김해시 삼방동 179번지 1호","경상남도 김해시 활천로267번길 13 (삼방동)","","국제타운상가","2007-07-07 10:38:36","I","2018-08-31 23:59:59","그 밖의 대규모점포","373609.137957081","195525.950832808","",
"482","대규모점포","08_25_01_P","5350000","1997535001407500014","1997-03-24","","01","영업/정상","1","정상영업","","","","","055 3333944","","","경상남도 김해시 어방동 502번지 7   호","","","어방종합시장","2007-07-07 10:38:36","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","",
"483","대규모점포","08_25_01_P","5350000","2000535001407500016","2000-05-12","","01","영업/정상","1","정상영업","","","","","055 3430100","","","경상남도 김해시 한림면 신천리 736번지 1   호","","","노바가구","2007-07-07 10:38:36","I","2018-08-31 23:59:59","대형마트","","","",
"484","대규모점포","08_25_01_P","5350000","2000535016407500001","2000-10-21","","01","영업/정상","1","정상영업","","","","","055-320-8023","31040.36","621-746","경상남도 김해시 내동 1131-2","경상남도 김해시 김해대로 2078 (내동)","621-746","홈플러스(주) 김해점","2021-02-19 10:03:58","U","2021-02-21 02:40:00","대형마트","370158.843415118","195217.779643226","대규모점포",
"485","대규모점포","08_25_01_P","5350000","2001535008707500001","2001-11-22","","01","영업/정상","1","정상영업","","","","","055343 1231","9986","","경상남도 김해시 한림면 신천리 170번지 1호","경상남도 김해시 한림면 김해대로 1591","","자어언트가구프라자","2007-09-03 10:11:50","I","2018-08-31 23:59:59","전문점","367827.085312216","198885.087624095","",
"486","대규모점포","08_25_01_P","5350000","2004535010107500002","2004-08-12","","01","영업/정상","1","정상영업","","","","","055 311 2500","11125.31","","경상남도 김해시 장유면 대청리 300호","경상남도 김해시 번화1로56번길 15 (대청동)","621-280","롯데쇼핑(주) 롯데마트장유점","2021-12-27 10:04:33","U","2021-12-29 02:40:00","대형마트","363984.907414338","189687.574572712","대규모점포",
"487","대규모점포","08_25_01_P","5350000","2008535016407500001","2008-12-02","","01","영업/정상","1","정상영업","","","","","055-900-2209","45952","621-832","경상남도 김해시 장유면 신문리 1B 4L","경상남도 김해시 장유로 469 (신문동)","621-260","롯데쇼핑(주) 프리미엄아울렛김해점","2022-05-03 09:32:50","U","2022-05-05 02:40:00","쇼핑센터","366527.647820362","188848.193746372","대규모점포",
"488","대규모점포","08_25_01_P","5350000","2012535019607500002","2012-06-19","","01","영업/정상","1","정상영업","","","","","324-7301","816.53","621-922","경상남도 김해시 외동 1251번지  대동한마음타운 111동 주상가 b-109gh, b-110gh, b-111gh","","","(주)메가마트 외동점","2018-01-14 16:24:41","I","2018-08-31 23:59:59","구분없음","369632.600409243","194295.359792307","준대규모점포",
"489","대규모점포","08_25_01_P","5350000","2012535019607500003","2012-07-31","","01","영업/정상","1","정상영업","","","","","02-820-8524","14842","","경상남도 김해시 삼정동 426번지 메가마트 김해점","경상남도 김해시 김해대로2492번길 20 (삼정동)","50935","메가마트 김해점","2022-07-04 19:07:39","U","2022-07-06 02:40:00","대형마트","372941.32985139","193521.212396072","대규모점포",
"490","대규모점포","08_25_01_P","5350000","2012535019607500004","2012-11-27","","01","영업/정상","1","정상영업","","","","","326-6841","0","621-708","경상남도 김해시 외동 1249번지","","","(주)프리마건설","2012-11-27 08:51:43","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","대규모점포",
"491","대규모점포","08_25_01_P","5350000","2013535019607500001","2013-07-03","","01","영업/정상","1","정상영업","","","","","055 340 2800","11249.63","621-010","경상남도 김해시 부원동  부원역세권지구 A-1블럭","경상남도 김해시 김해대로 2330 (부원동)","621-907","롯데쇼핑(주) 롯데마트 김해점","2021-12-27 10:05:09","U","2021-12-29 02:40:00","대형마트","371275.452046503","193430.416033372","대규모점포",
"492","대규모점포","08_25_01_P","5350000","2014535019607500001","2005-03-10","","01","영업/정상","1","정상영업","","","","","320-1880","17300.07","","","경상남도 김해시 내외중앙로 137 (내동)","621-905","휴앤락몰","2020-12-07 20:34:50","U","2020-12-09 02:40:00","쇼핑센터","370012.372982264","195252.446912028","대규모점포",
"493","대규모점포","08_25_01_P","5350000","2014535023407500001","2014-12-24","","01","영업/정상","1","정상영업","","","","","055-342-4700","4368.39","621-801","경상남도 김해시 진영읍 내룡리 76번지","경상남도 김해시 진영읍 서부로 76","621-801","넥스틸(주), (주)대성철강","2016-06-23 14:07:42","I","2018-08-31 23:59:59","전문점","360244.0266089","200344.093352932","대규모점포",
"494","대규모점포","08_25_01_P","5350000","2015535023407500001","2015-07-23","","01","영업/정상","1","정상영업","","","","","055-329-9000","34745.36","621-010","경상남도 김해시 부원동 1043번지","경상남도 김해시 김해대로 2342 (부원동)","621-010","아이스퀘어몰","2017-10-31 14:12:01","I","2018-08-31 23:59:59","쇼핑센터","371384.790228704","193381.006626705","대규모점포",
"495","대규모점포","08_25_01_P","5350000","2016535023407500001","2016-05-16","","01","영업/정상","1","정상영업","","","","","02-380-9470","55890","","경상남도 김해시 외동 1264번지","경상남도 김해시 김해대로 2232 (외동)","50958","김해터미널쇼핑센터","2021-08-10 10:00:31","U","2021-08-12 02:40:00","쇼핑센터","370364.763087449","193812.296089474","대규모점포",
"496","대규모점포","08_25_01_P","4280000","2011428008307500001","2011-11-04","","01","영업/정상","1","정상영업","","","","","033-335-5601","654.25","232-948","강원도 평창군 진부면 하진부리 206번지 9호","강원도 평창군 진부면 진부시장뒷길 57-3","232-940","롯데쇼핑(주)롯데슈퍼평창진부점","2022-07-13 17:32:08","U","2022-07-15 02:40:00","전문점","337498.910963726","460723.341252456","준대규모점포",
"497","대규모점포","08_25_01_P","4300000","2014430006907500001","2014-03-19","","01","영업/정상","1","정상영업","","","","","033-455-7300","1174","","","강원도 철원군 동송읍 이평2로 14","269-818","롯데슈퍼 철원점","2020-02-25 10:27:16","U","2020-02-27 02:40:00","그 밖의 대규모점포","219276.113407794","522598.469112606","준대규모점포",
"498","대규모점포","08_25_01_P","4300000","2009430006907500003","1981-01-21","","01","영업/정상","1","정상영업","","","","","033-458-9688","2036","269-841","강원도 철원군 서면 와수리 1171번지 21호","강원도 철원군 서면 와수로184번길 6-3","269-845","와수시장(등록)","2013-12-19 17:05:03","I","2018-08-31 23:59:59","시장","238393.759533807","526333.178792545","준대규모점포",
"499","대규모점포","08_25_01_P","3730000","2009373008807500001","2004-04-30","","01","영업/정상","1","정상영업","","","","","2646001","7632.96","","울산광역시 울주군 삼남읍 교동리 619-61","울산광역시 울주군 삼남읍 반구대로 612","44954","(주)메가마트 언양점","2022-07-12 17:49:28","U","2022-07-14 02:40:00","복합쇼핑몰","","","대규모점포",
"500","대규모점포","08_25_01_P","3730000","2010373010207500001","2010-05-11","","01","영업/정상","1","정상영업","","","","","052-220-6500","10382","689-853","울산광역시 울주군 범서읍 굴화리 295번지 1호","울산광역시 울주군 범서읍 장검길 10","","울산원예농업협동조합 하나로마트","2010-05-11 15:25:48","I","2018-08-31 23:59:59","그 밖의 대규모점포","404308.732486682","230986.181612496","",
"501","대규모점포","08_25_01_P","3730000","2012373010207500002","2012-05-18","","01","영업/정상","1","정상영업","","","","","052-237-6633","479.16","689-903","울산광역시 울주군 온양읍 대안리 404번지 1호","울산광역시 울주군 온양읍 연안2길 7","","탑마트 울산남창점","2022-07-11 17:54:59","U","2022-07-13 02:40:00","복합쇼핑몰","407294.162020691","214608.535261383","준대규모점포",
"502","대규모점포","08_25_01_P","3730000","2012373010207500003","2012-05-18","","01","영업/정상","1","정상영업","","","","","052-264-0244","551.97","689-806","울산광역시 울주군 언양읍 서부리 155번지 3호","울산광역시 울주군 언양읍 헌양길 117","","탑마트 언양점","2022-07-11 17:57:47","U","2022-07-13 02:40:00","그 밖의 대규모점포","392074.502799536","231607.371040507","준대규모점포",
"503","대규모점포","08_25_01_P","4710000","2000471001107500001","1997-12-05","","01","영업/정상","1","정상영업","","","","","063 5466000","","","전라북도 김제시 검산동 820번지 3  호","","","썬마트","2007-07-07 11:05:41","I","2018-08-31 23:59:59","쇼핑센터","","","",
"504","대규모점포","08_25_01_P","4710000","2000471001107500002","1999-09-18","","01","영업/정상","1","정상영업","","","","","063 5450411","","","전라북도 김제시 옥산동 286번지 3   호","","","N마트","2007-07-07 11:05:41","I","2018-08-31 23:59:59","쇼핑센터","","","",
"505","대규모점포","08_25_01_P","4710000","2000471001107500003","2000-02-07","","01","영업/정상","1","정상영업","","","","","063 5452441","","","전라북도 김제시 서암동 397번지 1  호","","","마트크럽","2007-07-07 11:05:41","I","2018-08-31 23:59:59","쇼핑센터","","","",
"506","대규모점포","08_25_01_P","4710000","2000471001107500004","1994-07-01","","01","영업/정상","1","정상영업","","","","","063 5460450","","","전라북도 김제시 요촌동 288호","전라북도 김제시 남북로 218 (요촌동)","","김제축협매장","2007-07-07 11:05:41","I","2018-08-31 23:59:59","쇼핑센터","189506.146320053","255935.765577168","",
"507","대규모점포","08_25_01_P","4710000","2000471001107500005","1999-12-07","","01","영업/정상","1","정상영업","","","","","063 5455855","","","전라북도 김제시 요촌동 272번지 1   호","","","디씨몰","2007-07-07 11:05:41","I","2018-08-31 23:59:59","쇼핑센터","","","",
"508","대규모점포","08_25_01_P","4710000","2000471001107500006","1997-02-27","","01","영업/정상","1","정상영업","","","","","063 5443700","","","전라북도 김제시 요촌동 213번지 4호","전라북도 김제시 동서로 185 (요촌동)","","농협하나로마트","2007-07-07 11:05:41","I","2018-08-31 23:59:59","쇼핑센터","189851.296400918","255603.023408597","",
"509","대규모점포","08_25_01_P","4710000","2000471001107500007","1998-09-15","","01","영업/정상","1","정상영업","","","","","063 5451007","","","전라북도 김제시 신풍동 44번지 6호","","","뉴마트","2007-07-07 11:05:41","I","2018-08-31 23:59:59","쇼핑센터","190986.735570165","254921.612295221","",
"510","대규모점포","08_25_01_P","4710000","2006471001107500001","2006-07-05","","01","영업/정상","1","정상영업","","","","","063540 8000","13766.59","","전라북도 김제시 검산동 841번지 16호 외 12필지","","","홈플러스 김제점","2011-04-15 13:35:15","I","2018-08-31 23:59:59","대형마트","","","",
"511","대규모점포","08_25_01_P","4710000","2013471018207500001","2013-06-12","","01","영업/정상","1","정상영업","","","","","063)540-8224","13766.59","","전라북도 김제시 검산동 841번지 16호","전라북도 김제시 금성로 114 (검산동)","54399","홈플러스(주) 김제점","2021-06-23 14:35:56","U","2021-06-25 02:40:00","대형마트","191146.883710671","255517.370352134","대규모점포",
"512","대규모점포","08_25_01_P","4670000","2001467011207500002","2001-03-05","","01","영업/정상","1","정상영업","","","","","063-472-1053","13871","","전라북도 군산시 경암동 590번지 296 호","전라북도 군산시 구암3.1로 137 (경암동)","","(주)이마트군산점","2020-05-01 17:53:14","U","2020-05-03 02:40:00","대형마트","176003.990213014","275855.723670155","대규모점포",
"513","대규모점포","08_25_01_P","4670000","2007467011207500001","2007-02-20","","01","영업/정상","1","정상영업","","","","","063-441-2500","14381","","전라북도 군산시 수송동 833","전라북도 군산시 수송로 185(수송동)","54091","롯데쇼핑 (주) 롯데마트군산점","2022-05-04 15:04:39","U","2022-05-07 02:40:00","쇼핑센터","174344.898655429","273872.128355095","대규모점포",
"514","대규모점포","08_25_01_P","4670000","2009467017707500001","2009-11-03","","01","영업/정상","1","정상영업","","","","","063-461-9112","3337.78","573-450","전라북도 군산시 비응도동 78번지","전라북도 군산시 비응남로 111 (비응도동)","","새만금종합수산시장","2009-11-03 13:32:47","I","2018-08-31 23:59:59","그 밖의 대규모점포","157913.334174405","271057.413258608","",
"515","대규모점포","08_25_01_P","4670000","2011467017707500001","2011-07-13","","01","영업/정상","1","정상영업","","","","","063-734-3005","819.33","573-866","전라북도 군산시 나운동 486번지 1호","전라북도 군산시 수송로 50 (나운동)","573-866","(주)지에스리테일 군산나운점","2019-01-14 15:14:30","U","2019-01-16 02:40:00","그 밖의 대규모점포","172990.997205494","274037.79526228","준대규모점포",
"516","대규모점포","08_25_01_P","4670000","2012467017707500001","2002-12-03","","01","영업/정상","1","정상영업","","","","","471-8740","1622","","","전라북도  하나운로 32 (세경아파트단지 상가지하 1층)","573-742","(주)킴스클럽마트 군산점","2012-02-29 18:49:28","I","2018-08-31 23:59:59","그 밖의 대규모점포","173015.244506711","273432.17647701","준대규모점포",
"517","대규모점포","08_25_01_P","4670000","2012467017707500003","2012-03-26","","01","영업/정상","1","정상영업","","","","","063-471-5847","2211.79","573-742","전라북도 군산시 나운동 155번지 세경아파트상가 지하 1층","전라북도 군산시 하나운로 32 (나운동, 세경아파트상가)","573-742","(주)이마트에브리데이 나운동점","2021-04-29 10:13:33","U","2021-05-01 02:40:00","그 밖의 대규모점포","173015.244506711","273432.17647701","준대규모점포",
"518","대규모점포","08_25_01_P","4670000","2016467021307500001","2016-12-27","","01","영업/정상","1","정상영업","","","","","063-279-2500","29123.2","","전라북도 군산시 조촌동 450-21 외 3필지","전라북도 군산시 조촌로 130(조촌동)","54072","롯데쇼핑 주식회사 아울렛 군산점","2022-04-25 20:20:14","U","2022-04-27 02:40:00","복합쇼핑몰","176350.48248947","275156.881801195","대규모점포",
"519","대규모점포","08_25_01_P","4670000","1999467011207500001","1999-08-24","","01","영업/정상","1","정상영업","","","","","063 4682960","","","전라북도 군산시 나운동 805-1호","","","동아26센타","2007-07-21 10:38:09","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","",
"520","대규모점포","08_25_01_P","4730000","2011473006107500002","2011-10-28","","01","영업/정상","1","정상영업","","","","","","780","567-871","전라북도 진안군 진안읍 군하리 309번지 4호","전라북도 진안군 진무로 1004-0","567-871","롯데쇼핑(주)롯데슈퍼 진안점","2014-07-02 13:30:46","I","2018-08-31 23:59:59","쇼핑센터","238156.629043304","254017.229923252","준대규모점포",
"521","대규모점포","08_25_01_P","4730000","2014473007607500001","2017-04-13","","01","영업/정상","1","정상영업","","","","","02-2290-5853","789.9","567-806","전라북도 진안군 진안읍 군하리 309번지 4호","","","롯데쇼핑(주)롯데슈퍼 진안점","2017-04-13 12:36:53","I","2018-08-31 23:59:59","그 밖의 대규모점포","238156.629043304","254017.229923252","준대규모점포",
"522","대규모점포","08_25_01_P","4730000","2011473006107500001","1918-03-15","","01","영업/정상","1","정상영업","","","","2010-02-04","000000","3930","567-804","전라북도 진안군 진안읍 군상리 406번지 7호","","","진안시장","2011-02-10 20:38:35","I","2018-08-31 23:59:59","시장","238750.217359681","254810.271772554","",
"523","대규모점포","08_25_01_P","6520000","1999552000007500001","1999-07-09","","01","영업/정상","1","정상영업","","","","","064 1231234","500","","제주특별자치도 서귀포시 남원읍 남원리 호","","","한아름유통","2007-06-30 12:02:53","I","2018-08-31 23:59:59","대형마트","","","",
"524","대규모점포","08_25_01_P","6520000","2000550000007500001","1965-01-15","","01","영업/정상","1","정상영업","","","","","064-738-6831","3529","","제주특별자치도 서귀포시 중문동 2123번지 1호","제주특별자치도 서귀포시 천제연로188번길 12 (중문동)","","중문오일시장","2010-06-23 11:04:40","I","2018-08-31 23:59:59","시장","146264.580403636","-27094.1879642057","",
"525","대규모점포","08_25_01_P","6520000","2000550000007500002","1975-05-01","","01","영업/정상","1","정상영업","","","","","064 7623122","","","제주특별자치도 서귀포시 서귀동 274번지 6호","제주특별자치도 서귀포시 중정로 69 (서귀동)","","동명백화점","2007-06-30 12:02:53","I","2018-08-31 23:59:59","백화점","159271.535417339","-27435.1082417437","",
"526","대규모점포","08_25_01_P","4030000","2002403006007500003","2002-06-17","","01","영업/정상","1","정상영업","","","","","031 471 2521","11672","","경기도 의왕시 내손동 743호","경기도 의왕시 계원대학로 7 (내손동, 롯데마트)","437-081","롯데쇼핑(주) 롯데마트 의왕점","2022-05-13 07:50:25","U","2022-05-15 02:40:00","대형마트","197598.213989563","430907.769943711","대규모점포",
"527","대규모점포","08_25_01_P","5590000","2013559014807500001","2013-02-22","","01","영업/정상","1","정상영업","","","","","031-894-2500","24798","482-170","경기도 양주시 회정동 453번지 19호","경기도 양주시 평화로 1593 (회정동)","482-170","(주)LF네트웍스 양주점","2013-02-22 15:25:47","I","2018-08-31 23:59:59","쇼핑센터","204539.305721776","480980.761356539","대규모점포",
"528","대규모점포","08_25_01_P","5590000","1997410001307500001","1997-04-26","","01","영업/정상","1","정상영업","","","","","0318647200","3398.59","","경기도 양주시 덕계동 694호","경기도 양주시 평화로1413번길 48 (덕계동)","482-050","리치마트 양주점","2018-12-24 17:12:47","U","2018-12-26 02:40:00","대형마트","203707.728341001","479401.14588968","대규모점포",
"529","대규모점포","08_25_01_P","5590000","2004559001407500001","2004-06-07","","01","영업/정상","1","정상영업","","","","","0318609054","8889.61","","경기도 양주시 회정동 98번지 5호","경기도 양주시 평화로 1713 (회정동)","482-170","(주)이마트 양주점","2020-05-06 16:58:05","U","2020-05-08 02:40:00","대형마트","","","대규모점포",
"530","대규모점포","08_25_01_P","4030000","2012403013507500001","2012-04-13","","01","영업/정상","1","정상영업","","","","","02   3809461","9875.45","","경기도 의왕시 오전동 892번지 서해그랑블","경기도 의왕시 경수대로 262 (오전동, 서해그랑블)","16058","이마트의왕점","2020-05-01 15:38:57","U","2020-05-03 02:40:00","대형마트","197590.089971229","427590.743059589","대규모점포",
"531","대규모점포","08_25_01_P","4040000","2010404008507500001","2010-12-07","","01","영업/정상","1","정상영업","","","","","0317777015","10650","465-821","경기도 하남시 신장1동 570번지","경기도 하남시 하남대로 747 (신장동, 홈플러스 하남점)","465-030","홈플러스(주) 경기하남점","2021-06-17 10:29:46","U","2021-06-19 02:40:00","대형마트","218722.326285059","448437.965903226","대규모점포",
"532","대규모점포","08_25_01_P","4040000","2011404015507500002","2011-12-26","","01","영업/정상","1","정상영업","","","","","031-795-1682","1047","465-030","경기도 하남시 신장동 427번지 53호","경기도 하남시 신장1로9번길 74 (신장동)","465-030","(주)지에스리테일 하남점","2016-03-14 16:43:45","I","2018-08-31 23:59:59","구분없음","218092.270999261","448561.965519817","준대규모점포",
"533","대규모점포","08_25_01_P","4040000","2016404015507500001","2016-02-01","","01","영업/정상","1","정상영업","","","","","02-3457-8000","10350","465-030","경기도 하남시 신장동 747번지","","","홈플러스(주)하남점","2016-02-19 15:55:46","I","2018-08-31 23:59:59","대형마트","","","대규모점포",
"534","대규모점포","08_25_01_P","4040000","2016404015507500002","2016-04-14","","01","영업/정상","1","정상영업","","","","","031-796-4254","133515.61","","경기도 하남시 신장동 616번지 지역현안사업2지구 내 물류유통시설용지","경기도 하남시 미사대로 750 (신장동, 스타필드하남)","12942","스타필드 하남","2017-05-18 09:37:05","I","2018-08-31 23:59:59","복합쇼핑몰","219699.010520355","449270.371200837","대규모점포",
"535","대규모점포","08_25_01_P","4040000","2016404015507500003","2016-10-31","","01","영업/정상","1","정상영업","","","","","02-380-9396","45170","465-240","경기도 하남시 학암동 660번지","경기도 하남시 위례대로 200 (학암동)","465-240","스타필드 시티 위례점","2020-05-15 18:36:37","U","2020-05-17 02:40:00","쇼핑센터","213056.041875501","441993.377546086","대규모점포",
"536","대규모점포","08_25_01_P","4040000","2017404019907500001","2017-10-25","","01","영업/정상","1","정상영업","","","","","02-2630-2648","14625.31","465-170","경기도 하남시 풍산동 327번지 1호","","","코스트코 홀세일 하남점","2019-05-07 09:31:14","U","2019-05-09 02:40:00","대형마트","","","대규모점포",
"537","대규모점포","08_25_01_P","5380000","2019538024907500001","2019-03-12","","01","영업/정상","1","정상영업","","","","","","53212.23","","경상남도 양산시 물금읍 가촌리 1292번지 라피에스타","경상남도 양산시 물금읍 증산역로 177, 라피에스타","50653","라피에스타 양산","2019-03-18 16:22:48","U","2019-03-20 02:40:00","그 밖의 대규모점포","382680.011475879","203015.651868728","대규모점포",
"538","대규모점포","08_25_01_P","3080000","1966308016907500009","1966-12-19","","01","영업/정상","1","정상영업","","","","","02-989-4730","5301.07","","서울특별시 강북구 수유동 54번지 5호 수유시장","서울특별시 강북구 도봉로67길 18, 수유시장 (수유동)","01117","수유시장","2019-03-11 19:23:47","I","2019-03-13 02:21:48","그 밖의 대규모점포","201956.180985499","458714.365820521","대규모점포",
"539","대규모점포","08_25_01_P","3080000","1971308016907500002","1971-11-18","","01","영업/정상","1","정상영업","","","","","02-902-1353","3634.6","","서울특별시 강북구 수유동 32번지 2호 수유중앙시장","서울특별시 강북구 노해로17길 21, 수유중앙시장 (수유동)","01076","수유중앙시장","2019-03-11 18:50:37","I","2019-03-13 02:21:48","그 밖의 대규모점포","201812.904685238","459775.992830125","대규모점포",
"540","대규모점포","08_25_01_P","3080000","1975308016907500002","1975-02-11","","01","영업/정상","1","정상영업","","","","","02-980-0740","5023.11","","서울특별시 강북구 미아동 701번지 3호 동북프라자","서울특별시 강북구 솔샘로 233, 동북프라자 (미아동)","01189","동북프라자","2020-10-28 14:41:07","U","2020-10-30 02:40:00","그 밖의 대규모점포","201589.777957863","457545.100871485","대규모점포",
"541","대규모점포","08_25_01_P","4600000","2019460017307500001","2019-04-22","","01","영업/정상","1","정상영업","","","","","02-380-5012","969.04","","충청남도 홍성군 홍성읍 남장리 74번지 1호","충청남도 홍성군 홍성읍 홍장북로 414-19","32234","(주)이마트에브리데이 홍성남장점","2019-04-25 14:15:57","U","2019-04-27 02:40:00","구분없음","170359.351112623","343480.18449677","준대규모점포",
"542","대규모점포","08_25_01_P","3070000","2019307021607500001","2019-05-24","","01","영업/정상","1","정상영업","","","","","02-926-6405","0","","서울특별시 성북구 돈암동 609번지 1호 스카이프라자상가","서울특별시 성북구 성북로4길 52 (돈암동, 한신한진아파트)","02831","동소문스카이상가","2019-05-24 17:01:59","I","2019-05-26 02:20:55","그 밖의 대규모점포","200841.726990037","454721.505180141","대규모점포",
"543","대규모점포","08_25_01_P","3940000","2019394038807500003","2019-06-04","","01","영업/정상","1","정상영업","","","","","02-381-8036","7989.5","","경기도 고양시 덕양구 삼송동 291번지","경기도 고양시 덕양구 동송로 70 (삼송동)","10591","힐스몰","2022-04-26 10:56:02","U","2022-04-28 02:40:00","그 밖의 대규모점포","190815.458049782","461119.342314115","대규모점포",
"544","대규모점포","08_25_01_P","3070000","2019307021607500003","2019-06-13","","01","영업/정상","1","정상영업","","","","","02-912-9110","5022.21","","서울특별시 성북구 길음동 535-8,535-26,540-2,540-7","","","길음시장","2019-06-13 08:58:32","I","2019-06-15 02:21:11","그 밖의 대규모점포","","","대규모점포",
"545","대규모점포","08_25_01_P","3170000","2019317019007500001","2019-04-10","","01","영업/정상","1","정상영업","","","","","02-809-9957","4288","","서울특별시 금천구 독산동 1156번지 금천롯데캐슬골드파크4차","서울특별시 금천구 시흥대로 315, 금천롯데캐슬골드파크4차 (독산동)","08608","롯데캐슬 골드파크 4차 마르쉐도르 960","2021-12-22 17:07:46","U","2021-12-24 02:40:00","그 밖의 대규모점포","190799.832998673","439885.941303087","대규모점포",
"546","대규모점포","08_25_01_P","3400000","2019340010907500001","2019-04-25","","01","영업/정상","1","정상영업","","","","","02-310-8700","22654.44","","부산광역시 기장군 기장읍 당사리 52번지 2호 이케아 동부산점","부산광역시 기장군 기장읍 동부산관광3로 17, 이케아 동부산점","46084","이케아 동부산점","2020-03-21 14:16:25","U","2020-03-24 02:40:00","전문점","401263.933189653","190196.173106958","대규모점포",
"547","대규모점포","08_25_01_P","3070000","2019307021607500002","2019-05-29","","01","영업/정상","1","정상영업","","","","","02-912-9110","4612.41","","서울특별시 성북구 길음동 535번지8호, 535번지26호, 540번지2호","","","길음시장","2019-05-29 17:30:00","I","2019-05-31 02:20:59","그 밖의 대규모점포","","","대규모점포",
"548","대규모점포","08_25_01_P","3860000","2019386053307500001","2019-05-02","","01","영업/정상","1","정상영업","","","","","02-380-9843","47606.26","","경기도 부천시 옥길동 768번지","","","스타필드시티 부천점","2020-05-11 18:04:24","U","2020-05-13 02:40:00","쇼핑센터","183469.36769705","439944.223220165","대규모점포",
"549","대규모점포","08_25_01_P","3240000","2019324023607500001","2019-06-04","","01","영업/정상","1","정상영업","","","","","02-2006-2422","719.46","","서울특별시 강동구 고덕동 217번지 고덕그라시움아파트(상가1동)","서울특별시 강동구 고덕로 353, 고덕그라시움아파트(상가1동) 지하1층 108-119,128호 (고덕동)","05224","지에스 더프레시(GS THE FRESH) 고덕그라시움점","2020-04-24 10:10:40","U","2020-04-26 02:40:00","구분없음","214299.644266879","450637.954760292","준대규모점포",
"550","대규모점포","08_25_01_P","3250000","1981325001407500041","1981-06-11","","01","영업/정상","1","정상영업","","","","","051 2553601","4725","","부산광역시 중구 보수동3가 46-1호","부산광역시 중구 보수대로 94 (보수동3가)","600-083","보수종합시장","2012-02-16 18:35:27","I","2018-08-31 23:59:59","시장","384268.876610502","180213.752067668","대규모점포",
"551","대규모점포","08_25_01_P","3250000","1983325001407500044","1983-01-08","","01","영업/정상","1","정상영업","","","","","051 2461012","11527","","부산광역시 중구 남포동6가 3호","부산광역시 중구 자갈치로 33 (남포동6가)","600-046","신천지시장","2014-08-27 09:57:12","I","2018-08-31 23:59:59","시장","384836.914455912","179432.734579543","대규모점포",
"552","대규모점포","08_25_01_P","3250000","1986325001407500045","1986-08-22","","01","영업/정상","1","정상영업","","","","","051 2467500","7652","","부산광역시 중구 남포동5가 92호","부산광역시 중구 자갈치로 42 (남포동5가)","600-712","신동아수산물종합시장","2022-06-27 14:47:48","U","2022-06-29 02:40:00","시장","384953.004015023","179411.688598493","대규모점포",
"553","대규모점포","08_25_01_P","3250000","1972325006907500001","1972-02-15","","01","영업/정상","1","정상영업","","","","","051-245-2594","3576.7","600-044","부산광역시 중구 남포동4가 37번지 1호","부산광역시 중구 자갈치해안로 52 (남포동4가)","600-044","자갈치시장","2022-03-29 16:10:37","U","2022-03-31 02:40:00","시장","385139.215952499","179403.007901717","대규모점포",
"554","대규모점포","08_25_01_P","3250000","1973325001407500030","1973-05-21","","01","영업/정상","1","정상영업","","","","","051 2460131","5758.9","600-021","부산광역시 중구 동광동1가 1번지 10호","부산광역시 중구 중앙대로 21 (중앙동6가)","600-016","부산데파트","2019-03-18 10:33:04","U","2019-03-20 02:40:00","시장","385587.465780386","179726.692445216","대규모점포",
"555","대규모점포","08_25_01_P","3250000","1977325001407500001","1977-08-06","","01","영업/정상","1","정상영업","","","","","051 2451889","","","부산광역시 중구 신창동4가 38호","","","사단법인 국제시장번영회","2007-07-07 09:56:14","I","2018-08-31 23:59:59","그 밖의 대규모점포","","","",
"556","대규모점포","08_25_01_P","3250000","1977325001407500004","1977-02-24","","01","영업/정상","1","정상영업","","","","","051 4698523","1100","","부산광역시 중구 영주동 601호","부산광역시 중구 대영로242번길 3 (영주동)","600-811","영주시장","2011-11-16 14:50:58","I","2018-08-31 23:59:59","시장","385670.483619122","181074.042663357","대규모점포",
